"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 28-Jul-2023","1W AGO 
 25-Jul-2023","1M AGO 
 30-Jun-2023","1Y AGO 
 29-Jul-2022","52W H 
","52W L 
","365 D % CHNG 
 29-Jul-2022","30 D % CHNG 
 30-Jun-2023"
"NIFTY 50","19,381.65","-0.74","19,463.75","19,537.65","19,296.45","19,526.55","19,733.55","19,659.90","19,322.55","17,345.45","19,991.85","16,747.70","12.57","1.06"
"NIFTY NEXT 50","44,414.55","-0.52","44,588.35","44,621.10","44,150.05","44,645.80","45,263.25","44,696.45","43,924.85","41,674.05","45,509.70","36,850.75","7.13","1.64"
"NIFTY 100","19,310.90","-0.70","19,388.55","19,453.90","19,222.40","19,447.10","19,659.85","19,566.70","19,223.85","17,618.25","19,822.95","16,696.25","10.38","1.16"
"NIFTY 200","10,262.60","-0.56","10,293.25","10,330.25","10,213.65","10,320.90","10,437.50","10,372.15","10,164.40","9,210.65","10,480.40","8,767.55","12.05","1.54"
"NIFTY 500","16,772.30","-0.51","16,818.35","16,878.75","16,691.65","16,858.95","17,051.15","16,919.20","16,527.95","14,876.60","17,102.10","14,177.50","13.33","2.00"
"NIFTY MIDCAP 50","10,657.55","0.13","10,628.20","10,696.55","10,581.90","10,643.20","10,793.95","10,624.50","10,142.95","8,319.35","10,864.15","8,094.85","27.93","4.93"
"NIFTY MIDCAP 100","37,326.15","0.25","37,206.70","37,408.00","37,100.85","37,232.70","37,733.45","37,151.60","35,843.50","30,228.15","37,884.45","29,200.20","23.17","3.88"
"NIFTY SMALLCAP 100","11,609.85","0.12","11,581.15","11,650.65","11,521.60","11,596.05","11,782.80","11,578.75","10,970.25","9,402.80","11,805.45","8,682.00","23.33","5.70"
"INDIA VIX","11.19","-0.82","11.28","11.96","10.98","11.28","10.28","10.51","11.54","18.53","22.90","8.18","-39.14","-2.27"
"NIFTY MIDCAP 150","13,979.05","0.03","13,968.65","14,022.90","13,911.40","13,975.20","14,151.00","13,898.90","13,427.60","11,416.65","14,200.00","11,016.50","22.41","4.08"
"NIFTY SMALLCAP 50","5,258.40","0.07","5,246.55","5,280.90","5,217.45","5,254.60","5,341.50","5,217.20","4,995.10","4,294.40","5,355.25","3,984.65","22.36","5.20"
"NIFTY SMALLCAP 250","11,247.50","0.14","11,224.40","11,286.95","11,168.00","11,232.10","11,377.65","11,193.80","10,637.90","8,990.15","11,420.50","8,492.40","24.94","5.59"
"NIFTY MIDSMALLCAP 400","13,011.05","0.07","12,995.50","13,052.60","12,938.20","13,002.55","13,167.80","12,940.75","12,431.75","10,545.55","13,214.00","10,106.00","23.30","4.59"
"NIFTY500 MULTICAP 50:25:25","11,255.80","-0.30","11,269.85","11,314.60","11,196.95","11,289.85","11,424.10","11,299.00","10,959.80","9,650.85","11,460.55","5,531.55","16.98","3.01"
"NIFTY LARGEMIDCAP 250","11,322.70","-0.33","11,340.80","11,381.45","11,270.10","11,360.30","11,494.05","11,363.25","11,070.60","9,762.90","11,529.60","5,635.20","16.36","2.62"
"NIFTY MIDCAP SELECT","8,501.00","0.14","8,484.50","8,526.70","8,444.15","8,489.05","8,589.15","8,454.45","8,229.55","7,211.00","8,646.90","5,520.25","17.72","3.15"
"NIFTY TOTAL MARKET","9,386.45","-0.47","9,409.20","9,444.10","9,340.10","9,431.05","9,539.55","9,461.20","9,230.00","8,274.10","9,567.90","6,252.10","13.98","2.18"
"NIFTY MICROCAP 250","14,470.05","0.87","14,353.95","14,490.10","14,328.05","14,345.15","14,559.95","14,213.50","13,248.70","10,198.30","14,621.05","5,802.95","40.66","8.28"
"NIFTY BANK","44,513.45","-1.07","44,862.85","45,038.45","44,279.40","44,995.70","45,592.50","45,679.30","45,158.10","38,024.00","46,369.50","37,386.35","18.33","-0.36"
"NIFTY AUTO","15,379.80","-0.32","15,406.45","15,489.90","15,316.05","15,428.90","15,688.70","15,572.00","15,106.85","13,023.65","15,912.15","11,901.85","18.47","2.13"
"NIFTY FINANCIAL SERVICES","19,832.45","-1.17","20,000.05","20,088.45","19,731.15","20,066.95","20,327.25","20,381.10","20,253.75","17,538.80","20,666.60","16,983.75","14.41","-0.92"
"NIFTY FINANCIAL SERVICES 25/50","20,106.25","-1.16","20,270.05","20,351.35","19,987.25","20,342.40","20,605.50","20,577.45","20,318.20","17,260.30","-","-","17.86","0.12"
"NIFTY FMCG","52,062.35","-0.58","52,283.55","52,409.80","51,943.05","52,368.70","52,501.15","52,499.90","52,741.50","42,798.50","54,349.85","42,126.85","22.36","-0.71"
"NIFTY IT","29,971.10","-0.24","29,913.65","30,054.35","29,685.15","30,043.60","30,288.65","29,745.00","29,424.80","29,024.65","31,658.10","26,184.45","3.51","2.10"
"NIFTY MEDIA","2,044.85","0.91","2,024.55","2,058.95","2,019.90","2,026.45","2,058.70","2,024.60","1,752.75","2,125.20","2,236.10","1,636.65","-4.65","15.62"
"NIFTY METAL","6,602.20","-0.47","6,600.80","6,627.90","6,532.75","6,633.45","6,770.15","6,581.55","6,275.45","5,563.45","6,919.60","5,209.35","19.23","5.70"
"NIFTY PHARMA","15,099.20","1.04","14,925.85","15,253.20","14,922.35","14,943.40","15,001.30","14,919.95","13,614.00","12,780.40","15,253.20","11,542.45","16.92","9.76"
"NIFTY PSU BANK","4,450.25","-0.59","4,478.35","4,503.80","4,409.35","4,476.45","4,596.40","4,592.20","4,258.55","2,906.95","4,647.95","2,766.05","53.99","5.12"
"NIFTY PRIVATE BANK","22,894.55","-1.00","23,042.30","23,137.00","22,780.15","23,126.95","23,415.70","23,389.65","23,064.60","19,332.95","23,778.25","19,181.15","19.62","0.27"
"NIFTY REALTY","538.65","-1.78","548.35","548.50","535.00","548.40","556.70","552.85","523.90","445.00","568.80","370.65","23.24","4.68"
"NIFTY HEALTHCARE INDEX","9,551.00","0.68","9,469.30","9,628.20","9,467.55","9,486.90","9,523.45","9,562.80","8,852.50","8,028.35","9,661.05","6,482.80","18.17","7.17"
"NIFTY CONSUMER DURABLES","27,136.50","-0.29","27,055.85","27,293.10","26,933.55","27,214.15","27,402.45","27,034.90","27,071.20","26,194.65","30,892.40","14,089.55","3.89","0.53"
"NIFTY OIL & GAS","7,934.70","-0.80","7,976.85","7,986.20","7,896.55","7,998.45","8,110.35","8,032.50","7,705.90","8,009.05","8,671.35","4,632.70","-0.13","3.80"
"NIFTY DIVIDEND OPPORTUNITIES 50","4,379.10","-0.45","4,386.05","4,402.85","4,356.00","4,398.85","4,456.45","4,384.75","4,291.50","3,638.65","4,465.75","3,515.75","20.89","2.50"
"NIFTY GROWTH SECTORS 15","9,612.45","-0.76","9,646.35","9,686.25","9,569.60","9,685.65","9,737.40","9,673.90","9,615.60","8,648.80","9,904.80","8,343.45","11.99","0.73"
"NIFTY100 QUALITY 30","4,326.85","-0.59","4,345.60","4,354.90","4,312.85","4,352.70","4,382.20","4,343.55","4,317.95","3,892.50","-","-","11.82","0.80"
"NIFTY50 VALUE 20","10,008.20","-0.51","10,026.50","10,058.70","9,955.90","10,059.90","10,156.90","10,003.30","9,908.25","8,774.15","10,318.75","8,433.05","14.65","1.53"
"NIFTY50 TR 2X LEVERAGE","13,814.30","-1.46","13,932.15","14,037.05","13,693.95","14,019.25","14,310.10","14,212.65","13,775.55","11,678.70","14,712.25","10,571.85","20.04","1.77"
"NIFTY50 PR 2X LEVERAGE","9,755.40","-1.50","9,838.65","9,912.80","9,670.40","9,904.10","10,118.15","10,052.05","9,757.00","8,421.15","10,408.65","7,558.50","17.61","1.51"
"NIFTY50 TR 1X INVERSE","202.40","0.75","201.55","203.25","200.80","200.90","198.90","199.50","202.35","217.45","229.40","196.00","-7.61","-0.72"
"NIFTY50 PR 1X INVERSE","240.60","0.75","239.60","241.65","238.75","238.80","236.30","236.95","240.20","256.00","271.10","232.80","-6.72","-0.58"
"NIFTY50 DIVIDEND POINTS","115.31","3.45","115.31","115.31","115.31","111.47","103.27","100.54","86.29","124.07","-","-","-10.16","29.18"
"NIFTY ALPHA 50","33,343.35","-0.18","33,400.50","33,561.15","33,073.25","33,402.80","33,841.55","33,330.65","31,640.20","28,994.50","-","-","15.20","5.57"
"NIFTY50 EQUAL WEIGHT","22,708.30","-0.60","22,779.80","22,847.55","22,600.45","22,846.05","23,106.25","22,926.00","22,506.10","19,831.60","-","-","15.20","1.51"
"NIFTY100 EQUAL WEIGHT","22,591.50","-0.46","22,645.90","22,698.55","22,475.45","22,696.55","22,974.95","22,750.10","22,242.10","20,444.55","-","-","11.02","2.04"
"NIFTY100 LOW VOLATILITY 30","14,927.85","-0.54","14,983.35","15,049.75","14,882.70","15,009.30","15,113.20","15,001.35","14,547.60","13,015.95","-","-","15.31","3.17"
"NIFTY200 QUALITY 30","15,892.45","-0.50","15,946.60","15,985.20","15,832.20","15,972.45","16,057.05","15,880.95","15,642.45","14,515.95","-","-","10.03","2.11"
"NIFTY ALPHA LOW-VOLATILITY 30","19,500.40","-0.52","19,553.55","19,656.40","19,438.15","19,602.45","19,767.35","19,647.55","19,074.95","16,527.95","-","-","18.60","2.77"
"NIFTY200 MOMENTUM 30","21,737.20","-0.35","21,797.15","21,921.00","21,578.55","21,812.85","22,124.10","21,865.10","21,335.40","18,400.00","-","-","18.55","2.24"
"NIFTY MIDCAP150 QUALITY 50","18,011.70","-0.22","18,041.80","18,087.60","17,981.80","18,051.40","18,238.85","17,850.60","17,390.30","16,661.55","-","-","8.34","3.80"
"NIFTY COMMODITIES","6,267.45","-0.62","6,290.45","6,303.30","6,235.05","6,306.55","6,405.05","6,230.30","6,108.95","5,648.55","6,412.80","5,353.55","11.65","3.23"
"NIFTY INDIA CONSUMPTION","8,254.80","-0.70","8,291.90","8,314.35","8,226.05","8,312.85","8,375.20","8,347.00","8,336.35","7,672.90","8,505.30","7,039.60","8.34","-0.28"
"NIFTY CPSE","3,424.85","-0.67","3,446.70","3,466.35","3,405.85","3,447.85","3,523.85","3,370.15","3,257.40","2,603.15","3,535.50","2,484.60","32.45","5.85"
"NIFTY ENERGY","26,221.85","-0.50","26,313.40","26,420.40","26,091.65","26,352.35","26,783.45","26,097.70","25,020.90","27,038.50","28,257.15","21,631.10","-2.54","5.32"
"NIFTY INFRASTRUCTURE","5,973.30","-0.40","5,985.05","6,010.95","5,946.20","5,997.05","6,076.55","6,003.40","5,784.80","4,976.90","6,123.70","4,840.60","20.50","3.67"
"NIFTY100 LIQUID 15","5,068.60","-0.81","5,093.20","5,104.65","5,035.50","5,109.85","5,182.10","5,170.90","5,068.80","4,445.80","5,239.25","4,196.00","14.94","0.81"
"NIFTY MIDCAP LIQUID 15","8,822.70","-0.14","8,827.60","8,877.30","8,764.70","8,834.95","8,950.55","8,791.45","8,437.15","7,574.70","9,017.95","7,039.85","16.64","4.71"
"NIFTY MNC","22,105.55","-0.68","22,205.55","22,240.70","22,058.15","22,257.95","22,440.75","22,190.20","21,779.05","19,423.95","22,572.55","18,651.05","14.59","2.20"
"NIFTY PSE","5,387.60","-0.14","5,391.40","5,425.00","5,352.30","5,395.20","5,512.15","5,329.35","5,113.85","4,098.45","5,531.95","3,881.65","31.64","5.50"
"NIFTY SERVICES SECTOR","24,826.05","-0.80","24,942.75","25,049.70","24,694.05","25,027.40","25,324.25","25,247.40","25,000.70","23,653.35","25,939.50","22,333.20","5.81","0.11"
"NIFTY100 ESG SECTOR LEADERS","3,094.05","-0.69","3,104.30","3,113.30","3,079.20","3,115.65","3,143.75","3,125.90","3,082.95","2,894.15","-","-","7.65","1.06"
"NIFTY INDIA DIGITAL","6,030.25","-0.35","6,017.50","6,049.85","5,976.75","6,051.50","6,117.80","6,005.20","5,904.40","5,429.30","7,365.45","4,755.25","11.46","2.49"
"NIFTY100 ESG","3,638.30","-0.57","3,648.30","3,659.30","3,619.70","3,659.00","3,697.40","3,680.50","3,621.60","3,420.05","-","-","6.99","1.03"
"NIFTY INDIA MANUFACTURING","9,533.05","-0.24","9,537.50","9,582.10","9,491.70","9,555.80","9,684.45","9,537.70","9,193.20","8,139.35","-","-","17.40","3.94"
"NIFTY 8-13 YR G-SEC","2,451.66","-0.20","2,457.26","2,457.26","2,450.01","2,456.79","2,457.37","2,460.45","2,448.47","2,284.31","-","-","7.53","0.33"
"NIFTY 10 YR BENCHMARK G-SEC","2,173.07","-0.21","2,178.10","2,178.10","2,170.78","2,177.68","2,177.71","2,181.20","2,170.67","2,033.07","-","-","7.10","0.31"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","871.78","-0.23","873.87","873.87","870.82","873.87","874.05","876.20","876.03","875.81","-","-","-0.24","-0.26"
"NIFTY 4-8 YR G-SEC INDEX","2,659.54","-0.13","2,663.57","2,663.57","2,658.12","2,663.05","2,663.48","2,665.09","2,653.61","2,500.06","-","-","6.52","0.35"
"NIFTY 11-15 YR G-SEC INDEX","2,685.74","-0.20","2,691.76","2,691.76","2,683.08","2,691.22","2,691.87","2,697.99","2,679.45","2,473.78","-","-","8.83","0.48"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","2,921.23","-0.38","2,933.03","2,934.50","2,920.94","2,932.44","2,931.37","2,944.24","2,909.69","2,640.99","-","-","11.00","0.75"
"NIFTY COMPOSITE G-SEC INDEX","2,526.17","-0.20","2,531.95","2,531.95","2,524.60","2,531.45","2,531.79","2,535.71","2,521.48","2,357.26","-","-","7.38","0.38"
